platform,content_type,industry,posting_hour,caption_length,cta,influencer,reach,engagement
Instagram,Reel,Entertainment,14,112,0,0,37528,5.6
YouTube,Video,Healthcare,19,58,0,0,30767,6.64
YouTube,Live,Fitness,23,100,1,0,38119,6.26
LinkedIn,Post,Sports,11,228,1,1,25418,5.11
Facebook,Post,Fashion,8,147,0,1,32412,4.11
YouTube,Shorts,Sports,7,236,1,0,47381,5.91
Instagram,Image,RealEstate,17,197,0,0,21579,4.13
Facebook,Post,Fashion,13,75,1,1,35454,5.61
LinkedIn,Post,Travel,17,103,1,0,26389,3.31
Facebook,Video,Entertainment,13,91,1,1,34185,6.32
YouTube,Video,RealEstate,16,246,0,0,37065,5.31
LinkedIn,Article,Food,8,104,1,0,29313,3.91
Twitter,Thread,EdTech,14,85,0,1,38083,5.0
Twitter,Thread,Travel,13,85,1,0,25509,3.63
Instagram,Carousel,RealEstate,11,224,1,0,21272,3.31
YouTube,Shorts,Beauty,14,191,0,0,41454,5.88
LinkedIn,Article,Fashion,15,161,0,1,21539,4.19
LinkedIn,Post,Beauty,9,210,1,0,19225,3.63
Facebook,Video,Sports,22,50,1,1,19742,5.14
LinkedIn,Article,FinTech,7,111,0,0,25211,3.04
Instagram,Carousel,EdTech,21,190,0,1,40431,6.29
Twitter,Tweet,Beauty,12,232,1,1,35985,4.81
LinkedIn,Article,Beauty,20,80,0,0,21524,4.83
Instagram,Carousel,Healthcare,13,51,0,0,17449,3.53
Instagram,Image,Fashion,22,110,1,1,25949,4.78
Facebook,Video,Healthcare,21,112,1,1,29242,6.74
Instagram,Post,Travel,19,155,1,0,35645,4.74
Instagram,Reel,Gaming,16,77,0,0,26099,4.95
Twitter,Tweet,Gaming,11,121,1,0,23754,3.06
Twitter,Tweet,Fitness,23,53,0,0,16194,2.68
Twitter,Thread,FinTech,18,65,0,1,22020,5.26
LinkedIn,Article,Food,19,228,1,0,28243,6.04
Facebook,Image,Healthcare,23,65,1,0,19611,3.69
Twitter,Tweet,Fitness,22,70,0,0,16496,2.38
Facebook,Post,Fashion,13,198,0,0,27866,4.13
YouTube,Live,Beauty,16,116,0,1,29076,6.01
Twitter,Tweet,RealEstate,15,167,1,0,17022,3.38
YouTube,Live,Fashion,8,187,0,1,26119,5.72
Instagram,Carousel,Travel,15,90,1,1,34218,4.47
YouTube,Video,RealEstate,23,126,0,0,26728,5.58
Instagram,Carousel,Food,15,204,0,1,27029,4.8
LinkedIn,Article,Food,7,73,1,1,19469,5.17
LinkedIn,Post,RealEstate,14,91,1,1,29828,5.05
Instagram,Reel,Entertainment,10,189,0,1,38112,5.68
Facebook,Post,EdTech,7,128,1,0,26708,3.11
Facebook,Video,FinTech,9,140,1,0,33529,4.21
Facebook,Image,Gaming,6,95,1,1,36895,4.52
Facebook,Post,EdTech,9,147,0,1,22702,4.62
Twitter,Thread,Food,13,107,0,0,24402,4.04
LinkedIn,Post,Sports,14,139,1,1,33284,4.39
Instagram,Image,EdTech,14,59,0,1,32058,5.23
LinkedIn,Article,Healthcare,22,79,1,0,19332,3.95
Twitter,Tweet,Beauty,23,225,0,1,20396,3.53
LinkedIn,Article,RealEstate,9,234,1,1,36948,5.34
LinkedIn,Article,Entertainment,15,191,0,0,27382,4.01
Twitter,Tweet,Healthcare,15,153,0,1,22130,4.17
Twitter,Thread,Tech,20,163,0,1,41776,5.16
Facebook,Video,Fashion,15,181,1,0,36974,4.38
Facebook,Video,Food,13,100,0,0,20088,4.73
Twitter,Tweet,Tech,19,211,0,1,33352,5.39
Facebook,Image,RealEstate,6,242,0,1,20062,4.01
YouTube,Shorts,Fitness,23,113,0,1,32365,6.43
Twitter,Thread,Sports,20,206,1,1,41410,5.56
Twitter,Thread,Food,13,213,1,1,32348,4.92
LinkedIn,Article,Fashion,15,110,1,1,30821,5.43
Instagram,Carousel,EdTech,13,148,0,0,21538,4.64
Twitter,Thread,Beauty,20,156,0,0,35098,4.47
Twitter,Tweet,Sports,18,172,0,1,31976,5.4
Twitter,Thread,Beauty,23,204,0,1,22542,4.44
Twitter,Thread,Fitness,18,136,1,0,37363,4.74
Facebook,Video,Beauty,6,150,0,0,29827,4.14
Facebook,Post,EdTech,7,116,1,1,27291,5.32
LinkedIn,Article,Sports,18,121,1,1,44045,6.29
Twitter,Tweet,Entertainment,23,63,1,0,25813,3.93
Instagram,Reel,FinTech,12,55,0,0,22177,4.35
Instagram,Carousel,Tech,14,246,1,0,34995,4.93
Instagram,Carousel,Food,9,198,0,1,32819,4.53
Twitter,Thread,Entertainment,12,69,0,0,31459,3.78
LinkedIn,Post,Sports,7,138,1,1,22044,4.54
LinkedIn,Post,Gaming,21,77,1,1,37242,4.9
Twitter,Tweet,Gaming,11,237,1,1,27213,4.21
YouTube,Shorts,Travel,13,72,1,1,40091,7.74
Twitter,Thread,Travel,6,176,1,0,26673,4.39
LinkedIn,Article,Travel,14,202,1,0,27535,4.49
Instagram,Carousel,Entertainment,19,175,0,1,39201,5.38
Twitter,Thread,Sports,6,73,1,0,25428,3.6
Facebook,Post,RealEstate,17,171,1,1,38206,5.07
LinkedIn,Article,Entertainment,20,119,1,1,29347,6.43
Facebook,Post,Fashion,23,245,0,0,20669,2.99
Twitter,Thread,Entertainment,22,202,1,0,30294,4.01
LinkedIn,Post,Travel,11,127,0,0,15905,3.04
Instagram,Image,Entertainment,10,213,1,0,31959,4.39
YouTube,Shorts,Tech,21,162,1,0,51541,6.92
LinkedIn,Article,Fashion,8,152,1,0,29447,3.97
Instagram,Carousel,EdTech,15,71,0,0,26913,3.34
Twitter,Tweet,Sports,22,147,1,1,23466,3.71
Twitter,Thread,Healthcare,7,206,0,0,23750,3.42
LinkedIn,Post,EdTech,13,94,0,0,17483,3.7
Twitter,Thread,Food,7,109,1,1,34938,4.8
Instagram,Carousel,Food,12,158,0,0,26884,4.01
LinkedIn,Post,Fashion,7,92,1,1,22874,3.93
Twitter,Thread,Entertainment,18,119,1,1,27307,5.83
Instagram,Post,Entertainment,16,204,1,0,17898,3.86
YouTube,Live,Fitness,14,197,0,0,35729,5.78
